DATE,YEAR_MONTH,SEOUL_BASE_INDEX,STATION_PREMIUM_RATIO,LARGE_COMPLEX_PREMIUM_RATIO,STATION_NEAR_INDEX,NON_STATION_INDEX,LARGE_COMPLEX_INDEX,SMALL_COMPLEX_INDEX
2019-10-01,201910,84.6894962277196,1.16,1.14,83.25,77.91,83.95,79.61
2019-11-01,201911,85.2754388343915,1.16,1.14,83.83,78.45,84.53,80.16
2019-12-01,201912,86.3310897644222,1.16,1.14,84.87,79.42,85.58,81.15
2020-01-01,202001,86.7167600403258,1.16,1.14,85.25,79.78,85.96,81.51
2020-02-01,202002,86.8189258643895,1.16,1.14,85.35,79.87,86.06,81.61
2020-03-01,202003,86.9087758534213,1.16,1.14,85.44,79.96,86.15,81.69
2020-04-01,202004,86.8242438552246,1.16,1.14,85.35,79.88,86.07,81.61
2020-05-01,202005,86.6471859480077,1.16,1.14,85.18,79.72,85.89,81.45
2020-06-01,202006,86.7625549627059,1.16,1.14,85.29,79.82,86.01,81.56
2020-07-01,202007,87.7361503314313,1.16,1.14,86.25,80.72,86.97,82.47
2020-08-01,202008,88.2155585559142,1.16,1.14,86.72,81.16,87.45,82.92
2020-09-01,202009,88.4756187372587,1.16,1.14,86.98,81.4,87.71,83.17
2020-10-01,202010,88.5763445089576,1.16,1.14,87.08,81.49,87.81,83.26
2020-11-01,202011,88.6803443759823,1.16,1.14,87.18,81.59,87.91,83.36
2020-12-01,202012,88.9305917492447,1.16,1.14,87.42,81.82,88.16,83.59
2021-01-01,202101,89.284013365161,1.16,1.14,87.77,82.14,88.51,83.93
2021-02-01,202102,89.8803725922984,1.16,1.14,88.36,82.69,89.1,84.49
2021-03-01,202103,90.3196480327098,1.16,1.14,88.79,83.09,89.53,84.9
2021-04-01,202104,90.7083085267754,1.16,1.14,89.17,83.45,89.92,85.27
2021-05-01,202105,91.1437863828446,1.16,1.14,89.6,83.85,90.35,85.68
2021-06-01,202106,92.036233966633,1.16,1.14,90.48,84.67,91.24,86.51
2021-07-01,202107,92.7832611748526,1.16,1.14,91.21,85.36,91.98,87.22
2021-08-01,202108,93.6376376204718,1.16,1.14,92.05,86.15,92.82,88.02
2021-09-01,202109,94.4817517798157,1.16,1.14,92.88,86.92,93.66,88.81
2021-10-01,202110,95.2620259698951,1.16,1.14,93.65,87.64,94.43,89.55
2021-11-01,202111,95.8298834872518,1.16,1.14,94.21,88.16,95.0,90.08
2021-12-01,202112,96.0648184842421,1.16,1.14,94.44,88.38,95.23,90.3
2022-01-01,202201,96.0694570792079,1.16,1.14,94.44,88.38,95.23,90.31
2022-02-01,202202,95.9907493922019,1.16,1.14,94.36,88.31,95.16,90.23
2022-03-01,202203,95.9230876866111,1.16,1.14,94.3,88.25,95.09,90.17
2022-04-01,202204,95.9136653663915,1.16,1.14,94.29,88.24,95.08,90.16
2022-05-01,202205,95.902454133863,1.16,1.14,94.28,88.23,95.07,90.15
2022-06-01,202206,95.8266192104181,1.16,1.14,94.2,88.16,94.99,90.08
2022-07-01,202207,95.6120848517038,1.16,1.14,93.99,87.96,94.78,89.88
2022-08-01,202208,95.17926133151,1.16,1.14,93.57,87.56,94.35,89.47
2022-09-01,202209,94.4624152030626,1.16,1.14,92.86,86.91,93.64,88.79
2022-10-01,202210,93.2920489510025,1.16,1.14,91.71,85.83,92.48,87.69
2022-11-01,202211,91.3674537598498,1.16,1.14,89.82,84.06,90.57,85.89
2022-12-01,202212,88.6636298956284,1.16,1.14,87.16,81.57,87.89,83.34
2023-01-01,202301,87.0867820309543,1.16,1.14,85.61,80.12,86.33,81.86
2023-02-01,202302,86.1448519348825,1.16,1.14,84.68,79.25,85.4,80.98
2023-03-01,202303,85.5256148733573,1.16,1.14,84.08,78.68,84.78,80.39
2023-04-01,202304,85.1948055148194,1.16,1.14,83.75,78.38,84.45,80.08
2023-05-01,202305,85.2047029334179,1.16,1.14,83.76,78.39,84.46,80.09
2023-06-01,202306,85.3459451321408,1.16,1.14,83.9,78.52,84.6,80.23
2023-07-01,202307,85.5744243901273,1.16,1.14,84.12,78.73,84.83,80.44
2023-08-01,202308,85.9866690676565,1.16,1.14,84.53,79.11,85.24,80.83
2023-09-01,202309,86.4146393318735,1.16,1.14,84.95,79.5,85.66,81.23
2023-10-01,202310,86.7285371889851,1.16,1.14,85.26,79.79,85.97,81.52
2023-11-01,202311,86.8438123150611,1.16,1.14,85.37,79.9,86.09,81.63
2023-12-01,202312,86.7347761996216,1.16,1.14,85.26,79.8,85.98,81.53
2024-01-01,202401,86.5848982635462,1.16,1.14,85.12,79.66,85.83,81.39
2024-02-01,202402,86.4638094399406,1.16,1.14,85.0,79.55,85.71,81.28
2024-03-01,202403,86.4486389801871,1.16,1.14,84.98,79.53,85.7,81.26
2024-04-01,202404,86.5577812543636,1.16,1.14,85.09,79.63,85.81,81.36
2024-05-01,202405,86.7300623445947,1.16,1.14,85.26,79.79,85.98,81.53
2024-06-01,202406,87.212765227572,1.16,1.14,85.73,80.24,86.45,81.98
2024-07-01,202407,88.2531850056102,1.16,1.14,86.76,81.19,87.49,82.96
2024-08-01,202408,89.377174937103,1.16,1.14,87.86,82.23,88.6,84.01
2024-09-01,202409,90.0876573012511,1.16,1.14,88.56,82.88,89.3,84.68
2024-10-01,202410,90.4762462203405,1.16,1.14,88.94,83.24,89.69,85.05
2024-11-01,202411,90.7075095105698,1.16,1.14,89.17,83.45,89.92,85.27
2024-12-01,202412,90.7887386712794,1.16,1.14,89.25,83.53,90.0,85.34
2025-01-01,202501,90.8021741389329,1.16,1.14,89.26,83.54,90.01,85.35
2025-02-01,202502,91.0232662558237,1.16,1.14,89.48,83.74,90.23,85.56
2025-03-01,202503,91.7486104391949,1.16,1.14,90.19,84.41,90.95,86.24
2025-04-01,202504,92.0540770704914,1.16,1.14,90.49,84.69,91.25,86.53
2025-05-01,202505,92.5551775556444,1.16,1.14,90.99,85.15,91.75,87.0
2025-06-01,202506,93.8855829998746,1.16,1.14,92.29,86.37,93.07,88.25
2025-07-01,202507,94.9106092965242,1.16,1.14,93.3,87.32,94.09,89.22
2025-08-01,202508,95.3695397977629,1.16,1.14,93.75,87.74,94.54,89.65
2025-09-01,202509,95.9271574483128,1.16,1.14,94.3,88.25,95.09,90.17
2025-10-01,202510,97.2995363535734,1.16,1.14,95.65,89.52,96.45,91.46
2025-11-01,202511,98.0894856023171,1.16,1.14,96.43,90.24,97.24,92.2
2025-12-01,202512,98.9408568072693,1.16,1.14,97.26,91.03,98.08,93.0
2026-01-01,202601,100.0,1.16,1.14,98.31,92.0,99.13,94.0
2026-02-01,202602,100.739543095184,1.22,1.18,104.15,92.68,103.37,94.7
2026-03-01,202603,101.084425594276,1.22,1.18,104.51,93.0,103.72,95.02
2026-04-01,202604,101.635725646656,1.22,1.18,105.08,93.5,104.29,95.54
2026-05-01,202605,102.712844805486,1.22,1.18,106.19,94.5,105.39,96.55
2026-06-01,202606,103.956606423001,1.22,1.18,107.48,95.64,106.67,97.72
2026-07-01,202607,100.0,1.16,1.14,98.31,92.0,99.13,94.0
2026-08-01,202608,100.0,1.16,1.14,98.31,92.0,99.13,94.0
